"시설명","지점명","날짜","시간","PM10단위","PM10기준치","PM10측정값","PM10측정기","PM10D/L","CO2단위","CO2기준치","CO2측정값","CO2측정기","CO2D/L","CO단위","CO기준치","CO측정값","CO측정기","COD/L","NO2단위","NO2기준치","NO2측정값","NO2측정기","NO2D/L"
"서울시청역 [지자체]","서울시청대합실","2018-03-23","","㎍/㎥","150","69","정상","","ppm","1000","505","정상","","ppm","10","0.6","정상","","ppm","0.05","0.05","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-23","","㎍/㎥","150","74","정상","","ppm","1000","597","정상","","ppm","10","0.8","정상","","ppm","0.05","0.071","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-23","","㎍/㎥","150","57","정상","","ppm","1000","514","정상","","ppm","10","0.6","정상","","ppm","0.05","0.063","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-20","","㎍/㎥","150","65","정상","","ppm","1000","562","정상","","ppm","10","0.4","정상","","ppm","0.05","0.038","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-20","","㎍/㎥","150","15","정상","","ppm","1000","501","정상","","ppm","10","0.4","정상","","ppm","0.05","0.029","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-20","","㎍/㎥","150","30","정상","","ppm","1000","454","정상","","ppm","10","0.3","정상","","ppm","0.05","0.035","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-20","","㎍/㎥","150","48","정상","","ppm","1000","517","정상","","ppm","10","0.4","정상","","ppm","0.05","0.04","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-19","","㎍/㎥","150","51","정상","","ppm","1000","521","정상","","ppm","10","0.6","정상","","ppm","0.05","0.045","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-19","","㎍/㎥","150","37","정상","","ppm","1000","480","정상","","ppm","10","0.5","정상","","ppm","0.05","0.042","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-19","","㎍/㎥","150","23","정상","","ppm","1000","510","정상","","ppm","10","0.5","정상","","ppm","0.05","0.037","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-19","","㎍/㎥","150","63","정상","","ppm","1000","595","정상","","ppm","10","0.6","정상","","ppm","0.05","0.039","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-18","","㎍/㎥","150","34","정상","","ppm","1000","535","정상","","ppm","10","0.7","정상","","ppm","0.05","0.05","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-18","","㎍/㎥","150","48","정상","","ppm","1000","505","정상","","ppm","10","0.7","정상","","ppm","0.05","0.058","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-18","","㎍/㎥","150","61","정상","","ppm","1000","507","정상","","ppm","10","0.6","정상","","ppm","0.05","0.047","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-18","","㎍/㎥","150","61","정상","","ppm","1000","557","정상","","ppm","10","0.7","정상","","ppm","0.05","0.05","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-17","","㎍/㎥","150","52","정상","","ppm","1000","576","정상","","ppm","10","0.6","정상","","ppm","0.05","0.044","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-17","","㎍/㎥","150","37","정상","","ppm","1000","497","정상","","ppm","10","0.5","정상","","ppm","0.05","0.046","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-17","","㎍/㎥","150","35","정상","","ppm","1000","630","정상","","ppm","10","0.5","정상","","ppm","0.05","0.041","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-17","","㎍/㎥","150","41","정상","","ppm","1000","510","정상","","ppm","10","0.4","정상","","ppm","0.05","0.042","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-16","","㎍/㎥","150","28","정상","","ppm","1000","475","정상","","ppm","10","0.4","정상","","ppm","0.05","0.037","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-16","","㎍/㎥","150","40","정상","","ppm","1000","495","정상","","ppm","10","0.4","정상","","ppm","0.05","0.038","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-16","","㎍/㎥","150","14","정상","","ppm","1000","526","정상","","ppm","10","0.4","정상","","ppm","0.05","0.03","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-16","","㎍/㎥","150","53","정상","","ppm","1000","580","정상","","ppm","10","0.5","정상","","ppm","0.05","0.03","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-13","","㎍/㎥","150","101","정상","","ppm","1000","592","정상","","ppm","10","0.6","정상","","ppm","0.05","0.053","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-13","","㎍/㎥","150","67","정상","","ppm","1000","624","정상","","ppm","10","0.8","정상","","ppm","0.05","0.054","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-13","","㎍/㎥","150","89","정상","","ppm","1000","530","정상","","ppm","10","0.6","정상","","ppm","0.05","0.056","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-13","","㎍/㎥","150","43","정상","","ppm","1000","602","정상","","ppm","10","1","정상","","ppm","0.05","0.061","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-12","","㎍/㎥","150","79","정상","","ppm","1000","632","정상","","ppm","10","1","정상","","ppm","0.05","0.063","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-12","","㎍/㎥","150","82","정상","","ppm","1000","617","정상","","ppm","10","0.8","정상","","ppm","0.05","0.062","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-12","","㎍/㎥","150","66","정상","","ppm","1000","550","정상","","ppm","10","0.8","정상","","ppm","0.05","0.07","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-12","","㎍/㎥","150","53","정상","","ppm","1000","591","정상","","ppm","10","1","정상","","ppm","0.05","0.07","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-11","","㎍/㎥","150","47","정상","","ppm","1000","473","정상","","ppm","10","0.4","정상","","ppm","0.05","0.045","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-11","","㎍/㎥","150","80","정상","","ppm","1000","509","정상","","ppm","10","0.4","정상","","ppm","0.05","0.034","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-11","","㎍/㎥","150","55","정상","","ppm","1000","529","정상","","ppm","10","0.5","정상","","ppm","0.05","0.042","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-11","","㎍/㎥","150","52","정상","","ppm","1000","544","정상","","ppm","10","0.5","정상","","ppm","0.05","0.039","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-10","","㎍/㎥","150","41","정상","","ppm","1000","511","정상","","ppm","10","0.6","정상","","ppm","0.05","0.053","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-10","","㎍/㎥","150","51","정상","","ppm","1000","628","정상","","ppm","10","0.7","정상","","ppm","0.05","0.05","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-10","","㎍/㎥","150","57","정상","","ppm","1000","595","정상","","ppm","10","0.7","정상","","ppm","0.05","0.046","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-10","","㎍/㎥","150","50","정상","","ppm","1000","544","정상","","ppm","10","0.6","정상","","ppm","0.05","0.048","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-03","","㎍/㎥","150","61","정상","","ppm","1000","582","정상","","ppm","10","0.8","정상","","ppm","0.05","0.054","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-03","","㎍/㎥","150","64","정상","","ppm","1000","522","정상","","ppm","10","0.7","정상","","ppm","0.05","0.058","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-03","","㎍/㎥","150","48","정상","","ppm","1000","520","정상","","ppm","10","0.7","정상","","ppm","0.05","0.059","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-03","","㎍/㎥","150","29","정상","","ppm","1000","573","정상","","ppm","10","0.8","정상","","ppm","0.05","0.054","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-31","","㎍/㎥","150","56","정상","","ppm","1000","512","정상","","ppm","10","0.6","정상","","ppm","0.05","0.035","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-31","","㎍/㎥","150","59","정상","","ppm","1000","481","정상","","ppm","10","0.7","정상","","ppm","0.05","0.034","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-31","","㎍/㎥","150","42","정상","","ppm","1000","471","정상","","ppm","10","0.7","정상","","ppm","0.05","0.038","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-31","","㎍/㎥","150","62","정상","","ppm","1000","503","정상","","ppm","10","0.6","정상","","ppm","0.05","0.03","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-30","","㎍/㎥","150","89","정상","","ppm","1000","623","정상","","ppm","10","1.4","정상","","ppm","0.05","0.056","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-30","","㎍/㎥","150","104","정상","","ppm","1000","573","정상","","ppm","10","1.1","정상","","ppm","0.05","0.056","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-30","","㎍/㎥","150","99","정상","","ppm","1000","570","정상","","ppm","10","1.2","정상","","ppm","0.05","0.057","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-30","","㎍/㎥","150","82","정상","","ppm","1000","538","정상","","ppm","10","1.3","정상","","ppm","0.05","0.062","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-29","","㎍/㎥","150","74","정상","","ppm","1000","622","정상","","ppm","10","1.2","정상","","ppm","0.05","0.06","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-29","","㎍/㎥","150","80","정상","","ppm","1000","645","정상","","ppm","10","1.2","정상","","ppm","0.05","0.056","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-29","","㎍/㎥","150","82","정상","","ppm","1000","572","정상","","ppm","10","0.9","정상","","ppm","0.05","0.052","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-29","","㎍/㎥","150","69","정상","","ppm","1000","535","정상","","ppm","10","1","정상","","ppm","0.05","0.063","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-28","","㎍/㎥","150","73","정상","","ppm","1000","614","정상","","ppm","10","1","정상","","ppm","0.05","0.045","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-28","","㎍/㎥","150","76","정상","","ppm","1000","554","정상","","ppm","10","0.8","정상","","ppm","0.05","0.05","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-28","","㎍/㎥","150","50","정상","","ppm","1000","605","정상","","ppm","10","0.8","정상","","ppm","0.05","0.044","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-28","","㎍/㎥","150","46","정상","","ppm","1000","516","정상","","ppm","10","0.7","정상","","ppm","0.05","0.046","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-21","","㎍/㎥","150","67","정상","","ppm","1000","622","정상","","ppm","10","1.1","정상","","ppm","0.05","0.044","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-21","","㎍/㎥","150","59","정상","","ppm","1000","628","정상","","ppm","10","1.1","정상","","ppm","0.05","0.049","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-21","","㎍/㎥","150","48","정상","","ppm","1000","607","정상","","ppm","10","0.9","정상","","ppm","0.05","0.056","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-21","","㎍/㎥","150","62","정상","","ppm","1000","625","정상","","ppm","10","1","정상","","ppm","0.05","0.053","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-20","","㎍/㎥","150","77","정상","","ppm","1000","503","정상","","ppm","10","0.7","정상","","ppm","0.05","0.043","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-20","","㎍/㎥","150","43","정상","","ppm","1000","583","정상","","ppm","10","0.9","정상","","ppm","0.05","0.052","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-20","","㎍/㎥","150","130","정상","","ppm","1000","596","정상","","ppm","10","1.4","정상","","ppm","0.05","0.04","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-20","","㎍/㎥","150","53","정상","","ppm","1000","645","정상","","ppm","10","0.8","정상","","ppm","0.05","0.04","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-19","","㎍/㎥","150","92","정상","","ppm","1000","539","정상","","ppm","10","0.6","정상","","ppm","0.05","0.037","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-19","","㎍/㎥","150","56","정상","","ppm","1000","565","정상","","ppm","10","0.7","정상","","ppm","0.05","0.032","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-19","","㎍/㎥","150","60","정상","","ppm","1000","572","정상","","ppm","10","0.6","정상","","ppm","0.05","0.029","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-19","","㎍/㎥","150","50","정상","","ppm","1000","565","정상","","ppm","10","0.6","정상","","ppm","0.05","0.032","정상",""
