"[AA]죄종별","죄종별","[BB]공범관계별","공범관계별","[Item]항목","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"0104","강간·강제추행","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","383","398","","","","","","","","",
"0104","강간·강제추행","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","14","9","","","","","","","","",
"0104","강간·강제추행","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","102","88","","","","","","","","",
"0104","강간·강제추행","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","38","34","","","","","","","","",
"0104","강간·강제추행","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","2","3","","","","","","","","",
"0104","강간·강제추행","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","638","483","","","","","","","","",
"0104","강간·강제추행","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","66","60","","","","","","","","",
"0104","강간·강제추행","BB208","애인","BB1[14STD04548]","범죄자[명]","명","14","20","","","","","","","","",
"0104","강간·강제추행","BB209","기타","BB1[14STD04548]","범죄자[명]","명","529","575","","","","","","","","",
"0104","강간·강제추행","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","4098","","","","","","","","",
"0106","강간","BB1","계","BB1[14STD04548]","범죄자[명]","명","","","5856","5517","5621","5829","5943","5947","6138","6113",
"0106","강간","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","","","3611","3494","4794","5084","5169","3347","3493","3464",
"0106","강간","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","","851","739","516","540","539","505","471","443",
"0106","강간","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","","","285","203","150","137","98","119","109","62",
"0106","강간","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","","","5","11","","2","1","2","-","9",
"0106","강간","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","","","41","31","12","8","44","19","19","28",
"0106","강간","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","","","17","18","10","10","9","9","12","16",
"0106","강간","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","","2","3","","1","2","1","1","3",
"0106","강간","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","","","284","272","206","220","234","194","178","180",
"0106","강간","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","","","56","37","16","35","34","27","21","18",
"0106","강간","BB208","애인","BB1[14STD04548]","범죄자[명]","명","","","21","4","4","9","8","11","10","9",
"0106","강간","BB209","기타","BB1[14STD04548]","범죄자[명]","명","","","140","160","118","118","109","123","121","118",
"0106","강간","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","","1394","1284","311","205","235","2095","2174","2206",
"0107","유사강간","BB1","계","BB1[14STD04548]","범죄자[명]","명","","","136","389","535","598","694","848","895","934",
"0107","유사강간","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","","","117","309","498","567","655","630","635","656",
"0107","유사강간","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","","8","26","21","23","24","49","56","47",
"0107","유사강간","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","","","","9","4","8","10","4","19","2",
"0107","유사강간","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","","","","","","","-","-","2","3",
"0107","유사강간","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","","","","","","2","2","4","-","5",
"0107","유사강간","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","","","","","","","-","-","-","1",
"0107","유사강간","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","","","","","","-","-","-","-",
"0107","유사강간","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","","","3","6","11","6","9","28","16","10",
"0107","유사강간","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","","","","","","","-","1","1","-",
"0107","유사강간","BB208","애인","BB1[14STD04548]","범죄자[명]","명","","","","2","2","","-","-","-","9",
"0107","유사강간","BB209","기타","BB1[14STD04548]","범죄자[명]","명","","","5","9","4","7","3","12","18","17",
"0107","유사강간","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","","11","54","16","8","15","169","204","231",
"0108","강제추행","BB1","계","BB1[14STD04548]","범죄자[명]","명","","","12496","13400","14488","16016","18272","17631","17892","16382",
"0108","강제추행","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","","","10038","11290","13865","15476","17619","13742","13864","12519",
"0108","강제추행","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","","474","449","295","344","353","542","461","378",
"0108","강제추행","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","","","105","77","69","78","82","91","81","67",
"0108","강제추행","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","","","","","","2","-","1","4","1",
"0108","강제추행","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","","","63","76","58","52","48","61","74","39",
"0108","강제추행","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","","","11","22","2","11","8","13","8","11",
"0108","강제추행","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","","6","3","4","6","4","4","-","3",
"0108","강제추행","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","","","90","84","50","85","86","61","74","79",
